source;target
0;384
0;1
0;2
0;270
0;273
0;21
0;149
0;27
0;157
0;29
0;33
0;162
0;422
0;171
0;51
0;317
0;447
0;452
0;199
0;86
0;88
0;350
0;483
0;499
0;252
1;0
1;2
1;3
1;131
1;261
1;386
1;9
1;10
1;525
1;143
1;145
1;19
1;532
1;534
1;25
1;155
1;283
1;286
1;414
1;32
1;36
1;165
1;38
1;42
1;44
1;428
1;178
1;179
1;53
1;56
1;58
1;60
1;449
1;70
1;79
1;207
1;210
1;227
1;359
1;489
1;106
1;235
1;110
1;366
1;242
1;116
1;120
1;379
1;252
1;381
2;0
2;1
2;3
2;4
2;5
2;6
2;519
2;8
2;9
2;12
2;13
2;14
2;145
2;402
2;147
2;411
2;412
2;30
2;33
2;164
2;422
2;167
2;298
2;48
2;53
2;437
2;438
2;312
2;57
2;185
2;190
2;446
2;321
2;328
2;457
2;74
2;80
2;469
2;91
2;104
2;106
2;107
2;109
2;113
2;115
2;117
2;247
2;382
3;256
3;1
3;2
3;131
3;4
3;5
3;6
3;7
3;134
3;135
3;10
3;387
3;391
3;13
3;394
3;397
3;16
3;522
3;18
3;19
3;20
3;403
3;22
3;150
3;406
3;25
3;513
3;27
3;283
3;543
3;547
3;36
3;37
3;38
3;39
3;40
3;549
3;517
3;44
3;45
3;432
3;177
3;180
3;310
3;438
3;313
3;186
3;59
3;322
3;202
3;203
3;84
3;214
3;218
3;91
3;95
3;96
3;100
3;356
3;233
3;239
3;112
3;372
3;118
4;2
4;3
4;8
4;20
4;148
4;277
4;407
4;155
4;157
4;31
4;169
4;172
4;178
4;66
4;78
4;468
4;213
4;230
4;361
4;362
4;107
4;119
4;248
5;385
5;2
5;3
5;261
5;6
5;7
5;9
5;10
5;11
5;265
5;147
5;531
5;22
5;24
5;546
5;420
5;165
5;167
5;168
5;41
5;43
5;301
5;430
5;47
5;176
5;305
5;54
5;441
5;194
5;69
5;454
5;329
5;206
5;335
5;211
5;87
5;88
5;343
5;472
5;476
5;94
5;483
5;492
5;237
5;365
5;367
5;244
5;127
6;2
6;3
6;5
6;134
6;8
6;142
6;527
6;279
6;290
6;164
6;48
6;50
6;189
6;63
6;64
6;68
6;457
6;89
6;229
7;352
7;3
7;5
7;266
7;428
7;335
7;18
7;243
8;2
8;514
8;4
8;132
8;6
8;136
8;394
8;11
8;12
8;13
8;14
8;15
8;140
8;267
8;21
8;535
8;153
8;26
8;28
8;413
8;30
8;415
8;33
8;34
8;418
8;545
8;41
8;299
8;301
8;314
8;192
8;325
8;199
8;74
8;460
8;205
8;208
8;209
8;471
8;216
8;344
8;345
8;475
8;479
8;97
8;229
8;357
8;233
8;114
8;251
8;125
9;1
9;2
9;5
9;11
9;12
9;16
9;17
9;276
9;23
9;26
9;282
9;285
9;35
9;40
9;49
9;56
9;322
9;67
9;195
9;453
9;71
9;327
9;201
9;455
9;75
9;203
9;204
9;79
9;463
9;346
9;96
9;104
9;110
9;509
9;510
9;127
10;256
10;1
10;226
10;3
10;5
10;263
10;72
10;168
10;113
10;86
10;286
11;5
11;390
11;8
11;9
11;15
11;17
11;20
11;279
11;23
11;25
11;156
11;37
11;44
11;431
11;313
11;60
11;450
11;323
11;68
11;77
11;205
11;84
11;344
11;102
11;360
11;501
11;254
12;129
12;2
12;8
12;9
12;15
12;16
12;22
12;35
12;42
12;47
12;176
12;183
12;315
12;332
12;353
12;101
12;103
12;370
12;117
12;119
12;120
12;253
13;224
13;2
13;3
13;503
13;198
13;8
13;317
13;17
13;87
13;247
13;93
13;190
13;31
14;2
14;34
14;546
14;8
14;72
14;238
14;494
14;144
14;464
14;210
14;531
14;151
14;158
15;34
15;197
15;38
15;8
15;297
15;11
15;12
15;435
15;57
15;123
16;3
16;263
16;40
16;9
16;43
16;12
16;18
16;434
16;439
16;26
16;219
16;29
16;94
17;9
17;11
17;13
18;3
18;7
18;363
18;77
18;16
18;284
18;62
19;1
19;3
19;99
19;101
19;103
19;264
19;105
19;137
19;267
19;296
19;300
19;46
19;304
19;432
19;308
19;24
20;3
20;4
20;542
20;74
20;11
20;76
20;435
20;405
20;246
20;24
20;441
20;284
20;30
21;0
21;69
21;8
21;174
21;110
21;440
22;129
22;3
22;5
22;391
22;138
22;12
22;280
22;290
22;53
22;184
22;185
22;187
22;190
22;447
22;64
22;200
22;460
22;207
22;81
22;82
22;89
22;93
22;97
22;98
22;226
22;232
22;240
22;368
22;507
22;251
22;125
23;160
23;419
23;36
23;262
23;520
23;9
23;330
23;11
23;489
23;349
24;160
24;161
24;66
24;5
24;366
24;19
24;20
24;122
25;32
25;1
25;480
25;3
25;35
25;37
25;67
25;39
25;106
25;11
25;333
25;142
25;206
25;371
25;473
25;59
25;29
25;159
26;97
26;195
26;8
26;9
26;16
26;500
26;27
26;31
27;0
27;3
27;323
27;420
27;231
27;75
27;143
27;240
27;49
27;82
27;435
27;84
27;467
27;281
27;26
27;348
27;63
28;8
29;0
29;121
29;289
29;227
29;354
29;43
29;75
29;45
29;16
29;370
29;211
29;243
29;339
29;25
29;124
29;223
30;512
30;2
30;516
30;8
30;398
30;20
30;535
30;283
30;287
30;173
30;54
30;58
30;196
30;71
30;456
30;73
30;331
30;344
30;92
30;482
30;102
30;118
31;4
31;72
31;41
31;200
31;395
31;13
31;346
31;52
31;181
31;55
31;26
31;286
31;511
32;1
32;132
32;488
32;491
32;241
32;25
32;445
33;0
33;128
33;2
33;387
33;8
33;45
33;46
33;305
33;82
33;51
33;116
33;146
33;55
33;183
33;346
33;375
34;388
34;8
34;394
34;14
34;15
35;98
35;132
35;324
35;295
35;9
35;457
35;12
35;174
35;48
35;220
35;533
35;25
35;60
35;221
35;191
36;65
36;1
36;3
36;133
36;50
36;211
36;23
36;478
37;65
37;3
37;487
37;168
37;409
37;11
37;25
37;62
38;1
38;66
38;3
38;260
38;327
38;73
38;42
38;330
38;15
38;272
38;304
38;52
38;340
38;122
39;3
39;519
39;105
39;80
39;209
39;528
39;379
39;340
39;56
39;25
39;58
39;59
40;3
40;517
40;263
40;9
40;271
40;16
40;407
40;409
40;47
40;50
40;51
40;54
40;61
40;319
40;450
40;453
40;85
40;90
40;223
40;95
40;353
40;100
40;236
40;114
40;244
40;501
40;249
40;508
40;509
40;511
41;8
41;5
41;31
42;1
42;133
42;12
42;269
42;529
42;146
42;38
42;176
42;181
42;61
42;191
42;63
42;455
42;88
42;95
42;224
42;226
42;103
42;246
43;5
43;423
43;268
43;492
43;46
43;16
43;284
43;29
43;287
44;1
44;67
44;3
44;163
44;70
44;295
44;456
44;11
44;108
44;141
44;493
44;111
44;347
44;83
44;308
44;372
44;216
44;123
45;288
45;33
45;99
45;3
45;338
45;52
45;29
46;33
46;71
46;43
46;496
46;19
46;531
46;55
46;93
47;98
47;5
47;198
47;40
47;12
47;77
47;527
47;467
47;444
47;543
48;128
48;2
48;6
48;518
48;266
48;522
48;398
48;537
48;415
48;35
48;165
48;172
48;433
48;57
48;61
48;207
48;83
48;342
48;89
48;222
48;241
48;245
49;9
49;27
49;70
50;163
50;36
50;6
50;40
50;488
50;330
50;241
50;83
50;85
50;502
50;251
51;0
51;33
51;65
51;484
51;69
51;295
51;40
51;105
51;201
51;362
51;78
51;271
51;144
51;81
51;178
51;180
51;470
51;94
52;64
52;100
52;38
52;519
52;250
52;107
52;76
52;45
52;496
52;151
52;215
52;31
53;128
53;1
53;2
53;162
53;356
53;385
53;136
53;111
53;112
53;22
53;182
53;280
53;345
53;542
54;259
54;164
54;5
54;294
54;231
54;40
54;323
54;521
54;299
54;429
54;238
54;111
54;506
54;436
54;277
54;410
54;30
55;33
55;386
55;517
55;428
55;237
55;46
55;366
55;152
55;62
55;31
56;1
56;39
56;9
56;138
56;462
57;449
57;2
57;359
57;137
57;108
57;494
57;15
57;48
57;370
57;150
57;218
58;1
58;289
58;68
58;102
58;39
58;524
58;430
58;179
58;116
58;309
58;121
58;30
59;192
59;194
59;3
59;227
59;39
59;170
59;202
59;426
59;175
59;399
59;149
59;25
59;444
60;1
60;289
60;35
60;101
60;11
60;76
60;180
60;86
60;281
60;476
60;159
61;48
61;42
61;40
62;130
62;291
62;387
62;37
62;357
62;520
62;140
62;175
62;18
62;466
62;212
62;55
62;472
62;378
62;92
63;516
63;6
63;42
63;173
63;398
63;118
63;27
64;6
64;296
64;138
64;52
64;373
64;22
64;505
64;477
65;36
65;37
65;423
65;269
65;51
65;158
65;543
66;225
66;4
66;38
66;522
66;139
66;108
66;494
66;81
66;533
66;24
67;352
67;450
67;325
67;9
67;44
67;332
67;115
67;25
68;224
68;448
68;6
68;11
68;58
69;5
69;80
69;51
69;21
69;90
70;1
70;194
70;73
70;44
70;49
70;117
70;534
70;316
71;161
71;9
71;202
71;493
71;46
71;30
72;130
72;319
72;357
72;10
72;141
72;14
72;242
72;339
72;85
72;182
72;31
73;38
73;70
73;427
73;87
73;153
73;347
73;30
74;2
74;8
74;273
74;20
74;278
74;535
74;416
74;311
74;440
74;314
74;78
74;218
74;481
74;99
74;360
74;361
74;235
74;499
74;126
75;228
75;392
75;9
75;329
75;302
75;239
75;434
75;342
75;27
75;29
75;382
76;196
76;197
76;516
76;236
76;79
76;52
76;20
76;150
76;152
76;60
77;416
77;298
77;11
77;47
77;144
77;497
77;18
77;245
77;119
77;444
77;125
78;96
78;384
78;418
78;163
78;4
78;414
78;390
78;485
78;514
78;169
78;74
78;526
78;51
78;154
78;411
78;92
78;126
79;1
79;518
79;9
79;76
79;351
80;320
80;2
80;69
80;166
80;39
80;167
80;267
80;91
81;66
81;51
81;22
81;216
81;506
82;264
82;33
82;27
82;22
83;451
83;265
83;44
83;48
83;50
